No.,Name,Link,Country,Group
86,MyCamTv-Blonde,http://live.mycamtv.com/blonde.m3u8,CZ,Adult
87,MyCamTv-Bruntee,http://live.mycamtv.com/brunette.m3u8,CZ,Adult
88,MyCamTv-Ebony,http://live.mycamtv.com/medium.m3u8,CZ,Adult
89,MyCamTv-Latina,http://live.mycamtv.com/latina.m3u8,CZ,Adult
90,MyCamTv-Skinny,http://live.mycamtv.com/arab.m3u8,CZ,Adult
91,MyCamTv-Squirt,http://live.mycamtv.com/squirt.m3u8,CZ,Adult
92,MyCamTv-White,http://live.mycamtv.com/white.m3u8,CZ,Adult
93,PentHouse 21+,http://ipflix.click:8080/3rvvs1p95e/w2a1bam3x7/13862,US,Adult
94,PlayboyTVKorea,https://allanf181.github.io/adaptive-streams/streams/kr/PlayboyTVKorea.m3u8,KOR,Adult
95,Viki,https://allanf181.github.io/adaptive-streams/streams/kr/Viki.m3u8,KOR,Adult
96,Xmax,http://95.87.227.29:8080/XYMAX_FOR_PLATFORM/index.m3u8,UK,Adult
97,Xmin,http://95.87.227.29:8080/XYMIX_FOR_PLATFORM/index.m3u8,UK,Adult
98,XpandedTV,https://vod2t.xpanded.com/x3tv/index_wlan.m3u8,UK,Adult
99,XTv,https://stream.visit-x.tv/vxtv/ngrp:live_all/playlist.m3u8,UK,Adult
100,XYPlus,http://95.87.227.29:8080/XYPLUS_FOR_PLATFORM/index.m3u8,UK,Adult
