No.,Name,Link,Country,Group
1,DurontoTv,https://iptv-world.github.io/tv/DurontoTv.html,BD,Kid
2,AsianBikiniTv,https://iptv-world.github.io/tv/A3Bikini.html,INT,Adult
3,Channel24Tv,https://iptv-world.github.io/tv/Channel24Tv.html,BD,News
4,JalshaMoviesTv,https://iptv-world.github.io/tv/JalshaMoviesTv.html,IND,Movie
5,News24Tv,https://iptv-world.github.io/tv/News24Tv.html,BD,News
