No.,Name,Link,Country,Group
1,Multiple Channels,http://103.55.144.46,Vendor,Var
2,DurontoTv,https://website-iptv-world-live.on.drv.tw/web/channel/DurontoTv.html,BD,Kid
3,AsianBikiniTv,https://website-iptv-world-live.on.drv.tw/web/channel/A3Bikini.html,INT,Adult
4,Channel24Tv,https://website-iptv-world-live.on.drv.tw/web/channel/Channel24Tv.html,BD,News
5,JalshaMoviesTv,https://website-iptv-world-live.on.drv.tw/web/channel/JalshaMoviesTv.html,IND,Movie
6,News24Tv,https://website-iptv-world-live.on.drv.tw/web/channel/News24Tv.html,BD,News
